Player,Overs,Runs,Wickets,ER,MatchID,Team,Match,Date,Teams
Yusuf Abdulla,2.5,0,36,0,125,Kings XI Punjab,7,2010-03-16,Royal Challengers Bengaluru v Punjab Kings
Piyush Chawla,3.0,0,20,1,125,Kings XI Punjab,7,2010-03-16,Royal Challengers Bengaluru v Punjab Kings
Yuvraj Singh,2.0,0,18,0,125,Kings XI Punjab,7,2010-03-16,Royal Challengers Bengaluru v Punjab Kings
Bipul Sharma,3.0,0,37,1,125,Kings XI Punjab,7,2010-03-16,Royal Challengers Bengaluru v Punjab Kings
Ravi Bopara,2.0,0,17,0,125,Kings XI Punjab,7,2010-03-16,Royal Challengers Bengaluru v Punjab Kings
Shane Bond,4.0,0,33,0,126,Chennai Super Kings,8,2010-03-16,Chennai Super Kings v Kolkata Knight Riders
Ishant Sharma,4.0,0,38,1,126,Chennai Super Kings,8,2010-03-16,Chennai Super Kings v Kolkata Knight Riders
Angelo Mathews,3.0,0,29,0,126,Chennai Super Kings,8,2010-03-16,Chennai Super Kings v Kolkata Knight Riders
Laxmi Shukla,4.0,0,37,1,126,Chennai Super Kings,8,2010-03-16,Chennai Super Kings v Kolkata Knight Riders
Murali Kartik,4.0,0,21,0,126,Chennai Super Kings,8,2010-03-16,Chennai Super Kings v Kolkata Knight Riders
Bradley Hodge,1.0,0,4,1,126,Chennai Super Kings,8,2010-03-16,Chennai Super Kings v Kolkata Knight Riders
Albie Morkel,2.0,1,6,1,126,Kolkata Knight Riders,8,2010-03-16,Chennai Super Kings v Kolkata Knight Riders
Manpreet Gony,3.0,0,33,1,126,Kolkata Knight Riders,8,2010-03-16,Chennai Super Kings v Kolkata Knight Riders
Lakshmipathy Balaji,2.2,0,9,2,126,Kolkata Knight Riders,8,2010-03-16,Chennai Super Kings v Kolkata Knight Riders
Muttiah Muralitharan,4.0,0,16,1,126,Kolkata Knight Riders,8,2010-03-16,Chennai Super Kings v Kolkata Knight Riders
Justin Kemp,3.0,0,12,3,126,Kolkata Knight Riders,8,2010-03-16,Chennai Super Kings v Kolkata Knight Riders
Ravichandran Ashwin,4.0,0,22,1,126,Kolkata Knight Riders,8,2010-03-16,Chennai Super Kings v Kolkata Knight Riders
Suresh Raina,1.0,0,6,0,126,Kolkata Knight Riders,8,2010-03-16,Chennai Super Kings v Kolkata Knight Riders
Dirk Nannes,4.0,0,35,0,127,Delhi Daredevils,9,2010-03-17,Delhi Capitals v Mumbai Indians
Farveez Maharoof,4.0,0,50,2,127,Delhi Daredevils,9,2010-03-17,Delhi Capitals v Mumbai Indians
Pradeep Sangwan,4.0,0,41,1,127,Delhi Daredevils,9,2010-03-17,Delhi Capitals v Mumbai Indians
Sarabjit Ladda,4.0,0,44,2,127,Delhi Daredevils,9,2010-03-17,Delhi Capitals v Mumbai Indians
Amit Mishra,4.0,0,44,1,127,Delhi Daredevils,9,2010-03-17,Delhi Capitals v Mumbai Indians
Zaheer Khan,2.0,0,20,0,127,Mumbai Indians,9,2010-03-17,Delhi Capitals v Mumbai Indians
Lasith Malinga,2.0,0,22,1,127,Mumbai Indians,9,2010-03-17,Delhi Capitals v Mumbai Indians
Dwayne Bravo,2.0,0,11,2,127,Mumbai Indians,9,2010-03-17,Delhi Capitals v Mumbai Indians
Kieron Pollard,4.0,0,24,1,127,Mumbai Indians,9,2010-03-17,Delhi Capitals v Mumbai Indians
Harbhajan Singh,2.3,0,23,2,127,Mumbai Indians,9,2010-03-17,Delhi Capitals v Mumbai Indians
Sanath Jayasuriya,4.0,0,17,2,127,Mumbai Indians,9,2010-03-17,Delhi Capitals v Mumbai Indians
Praveen Kumar,4.0,0,18,3,128,Royal Challengers Bengaluru,10,2010-03-18,Royal Challengers Bengaluru v Rajasthan Royals
Dale Steyn,4.0,0,18,0,128,Royal Challengers Bengaluru,10,2010-03-18,Royal Challengers Bengaluru v Rajasthan Royals
Vinay Kumar,4.0,0,25,0,128,Royal Challengers Bengaluru,10,2010-03-18,Royal Challengers Bengaluru v Rajasthan Royals
Jacques Kallis,4.0,0,20,2,128,Royal Challengers Bengaluru,10,2010-03-18,Royal Challengers Bengaluru v Rajasthan Royals
Anil Kumble,3.5,0,9,3,128,Royal Challengers Bengaluru,10,2010-03-18,Royal Challengers Bengaluru v Rajasthan Royals
Munaf Patel,3.0,0,23,0,128,Rajasthan Royals,10,2010-03-18,Royal Challengers Bengaluru v Rajasthan Royals
Morne Morkel,3.0,0,34,0,128,Rajasthan Royals,10,2010-03-18,Royal Challengers Bengaluru v Rajasthan Royals
Shane Warne,2.0,0,12,0,128,Rajasthan Royals,10,2010-03-18,Royal Challengers Bengaluru v Rajasthan Royals
Sumit Narwal,2.4,0,24,0,128,Rajasthan Royals,10,2010-03-18,Royal Challengers Bengaluru v Rajasthan Royals
Albie Morkel,3.0,0,26,0,129,Delhi Daredevils,11,2010-03-19,Delhi Capitals v Chennai Super Kings
Ravichandran Ashwin,4.0,0,40,1,129,Delhi Daredevils,11,2010-03-19,Delhi Capitals v Chennai Super Kings
Joginder Sharma,4.0,0,43,1,129,Delhi Daredevils,11,2010-03-19,Delhi Capitals v Chennai Super Kings
Lakshmipathy Balaji,3.0,0,21,2,129,Delhi Daredevils,11,2010-03-19,Delhi Capitals v Chennai Super Kings
Justin Kemp,1.0,0,14,0,129,Delhi Daredevils,11,2010-03-19,Delhi Capitals v Chennai Super Kings
Muttiah Muralitharan,4.0,0,25,2,129,Delhi Daredevils,11,2010-03-19,Delhi Capitals v Chennai Super Kings
Suresh Raina,1.0,0,12,0,129,Delhi Daredevils,11,2010-03-19,Delhi Capitals v Chennai Super Kings
Dirk Nannes,4.0,0,18,1,129,Chennai Super Kings,11,2010-03-19,Delhi Capitals v Chennai Super Kings
Umesh Yadav,4.0,0,38,1,129,Chennai Super Kings,11,2010-03-19,Delhi Capitals v Chennai Super Kings
Pradeep Sangwan,4.0,0,46,0,129,Chennai Super Kings,11,2010-03-19,Delhi Capitals v Chennai Super Kings
Rajat Bhatia,2.0,0,31,0,129,Chennai Super Kings,11,2010-03-19,Delhi Capitals v Chennai Super Kings
Tillakaratne Dilshan,2.1,0,30,1,129,Chennai Super Kings,11,2010-03-19,Delhi Capitals v Chennai Super Kings
Amit Mishra,3.0,0,25,1,129,Chennai Super Kings,11,2010-03-19,Delhi Capitals v Chennai Super Kings
Irfan Pathan,3.0,0,16,1,130,Deccan Chargers,12,2010-03-19,Deccan Chargers v Punjab Kings
Sreesanth,4.0,0,51,0,130,Deccan Chargers,12,2010-03-19,Deccan Chargers v Punjab Kings
Shalabh Srivastava,4.0,0,39,1,130,Deccan Chargers,12,2010-03-19,Deccan Chargers v Punjab Kings
Piyush Chawla,3.0,0,24,0,130,Deccan Chargers,12,2010-03-19,Deccan Chargers v Punjab Kings
Bipul Sharma,2.0,0,19,1,130,Deccan Chargers,12,2010-03-19,Deccan Chargers v Punjab Kings
Yuvraj Singh,4.0,0,21,2,130,Deccan Chargers,12,2010-03-19,Deccan Chargers v Punjab Kings
Chaminda Vaas,4.0,0,27,2,130,Kings XI Punjab,12,2010-03-19,Deccan Chargers v Punjab Kings
R P Singh,4.0,0,43,1,130,Kings XI Punjab,12,2010-03-19,Deccan Chargers v Punjab Kings
Andrew Symonds,4.0,0,22,1,130,Kings XI Punjab,12,2010-03-19,Deccan Chargers v Punjab Kings
Pragyan Ojha,4.0,0,31,1,130,Kings XI Punjab,12,2010-03-19,Deccan Chargers v Punjab Kings
Rohit Sharma,3.0,0,19,1,130,Kings XI Punjab,12,2010-03-19,Deccan Chargers v Punjab Kings
Jaskaran Singh,1.0,0,12,1,130,Kings XI Punjab,12,2010-03-19,Deccan Chargers v Punjab Kings
Ashok Dinda,4.0,0,28,2,131,Rajasthan Royals,13,2010-03-20,Rajasthan Royals v Kolkata Knight Riders
Ishant Sharma,4.0,0,33,2,131,Rajasthan Royals,13,2010-03-20,Rajasthan Royals v Kolkata Knight Riders
Shane Bond,4.0,0,32,2,131,Rajasthan Royals,13,2010-03-20,Rajasthan Royals v Kolkata Knight Riders
Angelo Mathews,3.0,0,33,0,131,Rajasthan Royals,13,2010-03-20,Rajasthan Royals v Kolkata Knight Riders
Murali Kartik,4.0,0,25,0,131,Rajasthan Royals,13,2010-03-20,Rajasthan Royals v Kolkata Knight Riders
Bradley Hodge,1.0,0,12,0,131,Rajasthan Royals,13,2010-03-20,Rajasthan Royals v Kolkata Knight Riders
Yusuf Pathan,4.0,0,23,2,131,Kolkata Knight Riders,13,2010-03-20,Rajasthan Royals v Kolkata Knight Riders
Shaun Tait,4.0,0,29,0,131,Kolkata Knight Riders,13,2010-03-20,Rajasthan Royals v Kolkata Knight Riders
Munaf Patel,3.0,0,20,1,131,Kolkata Knight Riders,13,2010-03-20,Rajasthan Royals v Kolkata Knight Riders
Siddharth Trivedi,4.0,0,26,1,131,Kolkata Knight Riders,13,2010-03-20,Rajasthan Royals v Kolkata Knight Riders
Adam Voges,1.0,0,5,0,131,Kolkata Knight Riders,13,2010-03-20,Rajasthan Royals v Kolkata Knight Riders
Shane Warne,4.0,0,27,0,131,Kolkata Knight Riders,13,2010-03-20,Rajasthan Royals v Kolkata Knight Riders
Praveen Kumar,4.0,0,37,1,132,Mumbai Indians,14,2010-03-20,Mumbai Indians v Royal Challengers Bengaluru
Dale Steyn,4.0,0,26,3,132,Mumbai Indians,14,2010-03-20,Mumbai Indians v Royal Challengers Bengaluru
Jacques Kallis,4.0,0,35,1,132,Mumbai Indians,14,2010-03-20,Mumbai Indians v Royal Challengers Bengaluru
Vinay Kumar,4.0,0,25,3,132,Mumbai Indians,14,2010-03-20,Mumbai Indians v Royal Challengers Bengaluru
Anil Kumble,4.0,0,18,1,132,Mumbai Indians,14,2010-03-20,Mumbai Indians v Royal Challengers Bengaluru
Zaheer Khan,4.0,0,18,1,132,Royal Challengers Bengaluru,14,2010-03-20,Mumbai Indians v Royal Challengers Bengaluru
Lasith Malinga,4.0,0,25,0,132,Royal Challengers Bengaluru,14,2010-03-20,Mumbai Indians v Royal Challengers Bengaluru
Dwayne Bravo,3.1,0,35,0,132,Royal Challengers Bengaluru,14,2010-03-20,Mumbai Indians v Royal Challengers Bengaluru
Kieron Pollard,2.0,0,24,0,132,Royal Challengers Bengaluru,14,2010-03-20,Mumbai Indians v Royal Challengers Bengaluru
Harbhajan Singh,4.0,0,35,1,132,Royal Challengers Bengaluru,14,2010-03-20,Mumbai Indians v Royal Challengers Bengaluru
Sanath Jayasuriya,2.0,0,16,0,132,Royal Challengers Bengaluru,14,2010-03-20,Mumbai Indians v Royal Challengers Bengaluru
Amit Mishra,3.0,0,12,1,133,Deccan Chargers,15,2010-03-21,Deccan Chargers v Delhi Capitals
Dirk Nannes,4.0,0,39,1,133,Deccan Chargers,15,2010-03-21,Deccan Chargers v Delhi Capitals
Yogesh Nagar,3.0,0,28,1,133,Deccan Chargers,15,2010-03-21,Deccan Chargers v Delhi Capitals
Sarabjit Ladda,2.0,0,20,1,133,Deccan Chargers,15,2010-03-21,Deccan Chargers v Delhi Capitals
Umesh Yadav,4.0,0,36,0,133,Deccan Chargers,15,2010-03-21,Deccan Chargers v Delhi Capitals
Moises Henriques,4.0,0,35,1,133,Deccan Chargers,15,2010-03-21,Deccan Chargers v Delhi Capitals
Chaminda Vaas,4.0,0,21,1,133,Delhi Daredevils,15,2010-03-21,Deccan Chargers v Delhi Capitals
R P Singh,3.0,0,31,0,133,Delhi Daredevils,15,2010-03-21,Deccan Chargers v Delhi Capitals
Pragyan Ojha,4.0,0,36,1,133,Delhi Daredevils,15,2010-03-21,Deccan Chargers v Delhi Capitals
Rohit Sharma,1.0,0,7,0,133,Delhi Daredevils,15,2010-03-21,Deccan Chargers v Delhi Capitals
Rahul Sharma,4.0,0,42,2,133,Delhi Daredevils,15,2010-03-21,Deccan Chargers v Delhi Capitals
Andrew Symonds,4.0,0,21,3,133,Delhi Daredevils,15,2010-03-21,Deccan Chargers v Delhi Capitals
Albie Morkel,4.0,0,23,2,134,Chennai Super Kings,16,2010-03-21,Chennai Super Kings v Punjab Kings
Manpreet Gony,2.0,0,20,0,134,Chennai Super Kings,16,2010-03-21,Chennai Super Kings v Punjab Kings
Ravichandran Ashwin,4.0,0,32,0,134,Chennai Super Kings,16,2010-03-21,Chennai Super Kings v Punjab Kings
Lakshmipathy Balaji,4.0,0,29,1,134,Chennai Super Kings,16,2010-03-21,Chennai Super Kings v Punjab Kings
Muttiah Muralitharan,4.0,0,16,3,134,Chennai Super Kings,16,2010-03-21,Chennai Super Kings v Punjab Kings
Justin Kemp,0.1,0,1,0,134,Chennai Super Kings,16,2010-03-21,Chennai Super Kings v Punjab Kings
Suresh Raina,1.5,0,13,0,134,Chennai Super Kings,16,2010-03-21,Chennai Super Kings v Punjab Kings
Irfan Pathan,3.0,0,22,1,134,Kings XI Punjab,16,2010-03-21,Chennai Super Kings v Punjab Kings
Ramesh Powar,4.0,0,22,1,134,Kings XI Punjab,16,2010-03-21,Chennai Super Kings v Punjab Kings
Shalabh Srivastava,3.0,0,25,0,134,Kings XI Punjab,16,2010-03-21,Chennai Super Kings v Punjab Kings
Rusty Theron,4.0,0,17,2,134,Kings XI Punjab,16,2010-03-21,Chennai Super Kings v Punjab Kings
Piyush Chawla,4.0,0,27,1,134,Kings XI Punjab,16,2010-03-21,Chennai Super Kings v Punjab Kings
Yuvraj Singh,2.0,0,18,1,134,Kings XI Punjab,16,2010-03-21,Chennai Super Kings v Punjab Kings
Lasith Malinga,4.0,0,28,0,135,Mumbai Indians,17,2010-03-22,Mumbai Indians v Kolkata Knight Riders
Zaheer Khan,4.0,0,27,2,135,Mumbai Indians,17,2010-03-22,Mumbai Indians v Kolkata Knight Riders
Ryan McLaren,4.0,0,38,0,135,Mumbai Indians,17,2010-03-22,Mumbai Indians v Kolkata Knight Riders
Dwayne Bravo,4.0,0,36,0,135,Mumbai Indians,17,2010-03-22,Mumbai Indians v Kolkata Knight Riders
Harbhajan Singh,4.0,0,17,1,135,Mumbai Indians,17,2010-03-22,Mumbai Indians v Kolkata Knight Riders
Shane Bond,3.0,0,31,0,135,Kolkata Knight Riders,17,2010-03-22,Mumbai Indians v Kolkata Knight Riders
Ishant Sharma,4.0,0,44,2,135,Kolkata Knight Riders,17,2010-03-22,Mumbai Indians v Kolkata Knight Riders
Chris Gayle,4.0,0,31,0,135,Kolkata Knight Riders,17,2010-03-22,Mumbai Indians v Kolkata Knight Riders
Murali Kartik,4.0,0,21,1,135,Kolkata Knight Riders,17,2010-03-22,Mumbai Indians v Kolkata Knight Riders
Angelo Mathews,3.3,0,29,0,135,Kolkata Knight Riders,17,2010-03-22,Mumbai Indians v Kolkata Knight Riders
Albie Morkel,4.0,0,28,1,136,Royal Challengers Bengaluru,18,2010-03-23,Royal Challengers Bengaluru v Chennai Super Kings
Sudeep Tyagi,4.0,0,19,0,136,Royal Challengers Bengaluru,18,2010-03-23,Royal Challengers Bengaluru v Chennai Super Kings
Lakshmipathy Balaji,4.0,0,49,1,136,Royal Challengers Bengaluru,18,2010-03-23,Royal Challengers Bengaluru v Chennai Super Kings
Muttiah Muralitharan,4.0,0,25,3,136,Royal Challengers Bengaluru,18,2010-03-23,Royal Challengers Bengaluru v Chennai Super Kings
Ravichandran Ashwin,4.0,0,40,0,136,Royal Challengers Bengaluru,18,2010-03-23,Royal Challengers Bengaluru v Chennai Super Kings
Praveen Kumar,4.0,0,21,1,136,Chennai Super Kings,18,2010-03-23,Royal Challengers Bengaluru v Chennai Super Kings
Dale Steyn,4.0,0,25,0,136,Chennai Super Kings,18,2010-03-23,Royal Challengers Bengaluru v Chennai Super Kings
Anil Kumble,4.0,0,15,1,136,Chennai Super Kings,18,2010-03-23,Royal Challengers Bengaluru v Chennai Super Kings
Jacques Kallis,4.0,0,29,0,136,Chennai Super Kings,18,2010-03-23,Royal Challengers Bengaluru v Chennai Super Kings
Vinay Kumar,4.0,0,40,4,136,Chennai Super Kings,18,2010-03-23,Royal Challengers Bengaluru v Chennai Super Kings
Irfan Pathan,4.0,0,45,0,137,Kings XI Punjab,19,2010-03-24,Punjab Kings v Rajasthan Royals
Sreesanth,3.0,0,20,1,137,Kings XI Punjab,19,2010-03-24,Punjab Kings v Rajasthan Royals
Shalabh Srivastava,4.0,0,49,1,137,Kings XI Punjab,19,2010-03-24,Punjab Kings v Rajasthan Royals
Rusty Theron,4.0,0,25,0,137,Kings XI Punjab,19,2010-03-24,Punjab Kings v Rajasthan Royals
Piyush Chawla,4.0,0,29,1,137,Kings XI Punjab,19,2010-03-24,Punjab Kings v Rajasthan Royals
Yuvraj Singh,1.0,0,12,0,137,Kings XI Punjab,19,2010-03-24,Punjab Kings v Rajasthan Royals
Munaf Patel,4.0,0,43,1,137,Rajasthan Royals,19,2010-03-24,Punjab Kings v Rajasthan Royals
Shaun Tait,3.1,0,22,3,137,Rajasthan Royals,19,2010-03-24,Punjab Kings v Rajasthan Royals
Shane Warne,4.0,0,39,1,137,Rajasthan Royals,19,2010-03-24,Punjab Kings v Rajasthan Royals
Siddharth Trivedi,4.0,0,25,2,137,Rajasthan Royals,19,2010-03-24,Punjab Kings v Rajasthan Royals
Adam Voges,2.0,0,12,0,137,Rajasthan Royals,19,2010-03-24,Punjab Kings v Rajasthan Royals
Yusuf Pathan,2.0,0,9,2,137,Rajasthan Royals,19,2010-03-24,Punjab Kings v Rajasthan Royals
Praveen Kumar,4.0,0,45,0,138,Royal Challengers Bengaluru,20,2010-03-25,Royal Challengers Bengaluru v Delhi Capitals
Dale Steyn,4.0,0,42,1,138,Royal Challengers Bengaluru,20,2010-03-25,Royal Challengers Bengaluru v Delhi Capitals
Jacques Kallis,4.0,0,36,0,138,Royal Challengers Bengaluru,20,2010-03-25,Royal Challengers Bengaluru v Delhi Capitals
Vinay Kumar,4.0,0,29,1,138,Royal Challengers Bengaluru,20,2010-03-25,Royal Challengers Bengaluru v Delhi Capitals
Anil Kumble,4.0,0,30,0,138,Royal Challengers Bengaluru,20,2010-03-25,Royal Challengers Bengaluru v Delhi Capitals
Dirk Nannes,4.0,0,31,0,138,Delhi Daredevils,20,2010-03-25,Royal Challengers Bengaluru v Delhi Capitals
Umesh Yadav,4.0,0,27,1,138,Delhi Daredevils,20,2010-03-25,Royal Challengers Bengaluru v Delhi Capitals
Pradeep Sangwan,4.0,0,32,1,138,Delhi Daredevils,20,2010-03-25,Royal Challengers Bengaluru v Delhi Capitals
Amit Mishra,4.0,0,23,2,138,Delhi Daredevils,20,2010-03-25,Royal Challengers Bengaluru v Delhi Capitals
Andrew McDonald,4.0,0,42,2,138,Delhi Daredevils,20,2010-03-25,Royal Challengers Bengaluru v Delhi Capitals
Ryan McLaren,4.0,0,23,1,139,Mumbai Indians,21,2010-03-25,Mumbai Indians v Chennai Super Kings
Zaheer Khan,4.0,0,45,0,139,Mumbai Indians,21,2010-03-25,Mumbai Indians v Chennai Super Kings
Harbhajan Singh,4.0,0,25,1,139,Mumbai Indians,21,2010-03-25,Mumbai Indians v Chennai Super Kings
Dwayne Bravo,4.0,0,42,0,139,Mumbai Indians,21,2010-03-25,Mumbai Indians v Chennai Super Kings
Lasith Malinga,4.0,0,41,0,139,Mumbai Indians,21,2010-03-25,Mumbai Indians v Chennai Super Kings
Albie Morkel,4.0,0,26,0,139,Chennai Super Kings,21,2010-03-25,Mumbai Indians v Chennai Super Kings
Lakshmipathy Balaji,4.0,0,47,1,139,Chennai Super Kings,21,2010-03-25,Mumbai Indians v Chennai Super Kings
Joginder Sharma,2.0,0,23,1,139,Chennai Super Kings,21,2010-03-25,Mumbai Indians v Chennai Super Kings
Shadab Jakati,4.0,0,30,1,139,Chennai Super Kings,21,2010-03-25,Mumbai Indians v Chennai Super Kings
Muttiah Muralitharan,4.0,0,32,2,139,Chennai Super Kings,21,2010-03-25,Mumbai Indians v Chennai Super Kings
Thisara Perera,1.0,0,19,0,139,Chennai Super Kings,21,2010-03-25,Mumbai Indians v Chennai Super Kings
Sumit Narwal,4.0,0,35,2,140,Rajasthan Royals,22,2010-03-26,Rajasthan Royals v Deccan Chargers
Abhishek Jhunjhunwala,1.0,0,16,0,140,Rajasthan Royals,22,2010-03-26,Rajasthan Royals v Deccan Chargers
Siddharth Trivedi,3.0,0,35,0,140,Rajasthan Royals,22,2010-03-26,Rajasthan Royals v Deccan Chargers
Shaun Tait,4.0,0,22,3,140,Rajasthan Royals,22,2010-03-26,Rajasthan Royals v Deccan Chargers
Shane Warne,4.0,0,15,1,140,Rajasthan Royals,22,2010-03-26,Rajasthan Royals v Deccan Chargers
Yusuf Pathan,2.0,0,12,0,140,Rajasthan Royals,22,2010-03-26,Rajasthan Royals v Deccan Chargers
Adam Voges,2.0,0,9,0,140,Rajasthan Royals,22,2010-03-26,Rajasthan Royals v Deccan Chargers
Chaminda Vaas,3.0,0,29,0,140,Deccan Chargers,22,2010-03-26,Rajasthan Royals v Deccan Chargers
R P Singh,2.0,0,22,0,140,Deccan Chargers,22,2010-03-26,Rajasthan Royals v Deccan Chargers
Rohit Sharma,2.0,0,17,0,140,Deccan Chargers,22,2010-03-26,Rajasthan Royals v Deccan Chargers
Rahul Sharma,3.4,0,30,0,140,Deccan Chargers,22,2010-03-26,Rajasthan Royals v Deccan Chargers
Pragyan Ojha,3.0,0,40,1,140,Deccan Chargers,22,2010-03-26,Rajasthan Royals v Deccan Chargers
Andrew Symonds,2.0,0,9,0,140,Deccan Chargers,22,2010-03-26,Rajasthan Royals v Deccan Chargers
Brett Lee,4.0,0,39,0,141,Kings XI Punjab,23,2010-03-27,Punjab Kings v Kolkata Knight Riders
Irfan Pathan,4.0,0,42,2,141,Kings XI Punjab,23,2010-03-27,Punjab Kings v Kolkata Knight Riders
Shalabh Srivastava,3.0,0,23,2,141,Kings XI Punjab,23,2010-03-27,Punjab Kings v Kolkata Knight Riders
Vikramjeet Malik,3.0,0,18,0,141,Kings XI Punjab,23,2010-03-27,Punjab Kings v Kolkata Knight Riders
Piyush Chawla,4.0,0,35,1,141,Kings XI Punjab,23,2010-03-27,Punjab Kings v Kolkata Knight Riders
Ravi Bopara,2.0,0,18,0,141,Kings XI Punjab,23,2010-03-27,Punjab Kings v Kolkata Knight Riders
Shane Bond,4.0,0,24,2,141,Kolkata Knight Riders,23,2010-03-27,Punjab Kings v Kolkata Knight Riders
Ashok Dinda,2.0,0,19,0,141,Kolkata Knight Riders,23,2010-03-27,Punjab Kings v Kolkata Knight Riders
Chris Gayle,3.0,0,23,1,141,Kolkata Knight Riders,23,2010-03-27,Punjab Kings v Kolkata Knight Riders
Ajit Agarkar,4.0,0,32,2,141,Kolkata Knight Riders,23,2010-03-27,Punjab Kings v Kolkata Knight Riders
Iqbal Abdulla,2.0,0,12,0,141,Kolkata Knight Riders,23,2010-03-27,Punjab Kings v Kolkata Knight Riders
Angelo Mathews,4.0,0,26,1,141,Kolkata Knight Riders,23,2010-03-27,Punjab Kings v Kolkata Knight Riders
David Hussey,1.0,0,7,0,141,Kolkata Knight Riders,23,2010-03-27,Punjab Kings v Kolkata Knight Riders
Albie Morkel,4.0,0,46,2,142,Rajasthan Royals,24,2010-03-28,Rajasthan Royals v Chennai Super Kings
Thilan Thushara,4.0,0,28,2,142,Rajasthan Royals,24,2010-03-28,Rajasthan Royals v Chennai Super Kings
Muttiah Muralitharan,4.0,0,34,0,142,Rajasthan Royals,24,2010-03-28,Rajasthan Royals v Chennai Super Kings
Joginder Sharma,2.0,0,23,0,142,Rajasthan Royals,24,2010-03-28,Rajasthan Royals v Chennai Super Kings
Suresh Raina,2.0,0,15,0,142,Rajasthan Royals,24,2010-03-28,Rajasthan Royals v Chennai Super Kings
Shadab Jakati,4.0,0,30,2,142,Rajasthan Royals,24,2010-03-28,Rajasthan Royals v Chennai Super Kings
Yusuf Pathan,4.0,0,26,1,142,Chennai Super Kings,24,2010-03-28,Rajasthan Royals v Chennai Super Kings
Sumit Narwal,3.0,0,49,0,142,Chennai Super Kings,24,2010-03-28,Rajasthan Royals v Chennai Super Kings
Shaun Tait,4.0,0,22,2,142,Chennai Super Kings,24,2010-03-28,Rajasthan Royals v Chennai Super Kings
Shane Warne,4.0,0,34,1,142,Chennai Super Kings,24,2010-03-28,Rajasthan Royals v Chennai Super Kings
Siddharth Trivedi,4.0,0,18,0,142,Chennai Super Kings,24,2010-03-28,Rajasthan Royals v Chennai Super Kings
Adam Voges,1.0,0,8,0,142,Chennai Super Kings,24,2010-03-28,Rajasthan Royals v Chennai Super Kings
Kemar Roach,4.0,0,32,0,143,Deccan Chargers,25,2010-03-28,Deccan Chargers v Mumbai Indians
Jaskaran Singh,3.0,0,30,2,143,Deccan Chargers,25,2010-03-28,Deccan Chargers v Mumbai Indians
Pragyan Ojha,4.0,0,24,2,143,Deccan Chargers,25,2010-03-28,Deccan Chargers v Mumbai Indians
R P Singh,4.0,0,31,3,143,Deccan Chargers,25,2010-03-28,Deccan Chargers v Mumbai Indians
Andrew Symonds,4.0,0,40,0,143,Deccan Chargers,25,2010-03-28,Deccan Chargers v Mumbai Indians
Rohit Sharma,1.0,0,14,0,143,Deccan Chargers,25,2010-03-28,Deccan Chargers v Mumbai Indians
Harbhajan Singh,4.0,0,31,3,143,Mumbai Indians,25,2010-03-28,Deccan Chargers v Mumbai Indians
Ryan McLaren,3.0,0,24,0,143,Mumbai Indians,25,2010-03-28,Deccan Chargers v Mumbai Indians
Zaheer Khan,3.0,0,21,3,143,Mumbai Indians,25,2010-03-28,Deccan Chargers v Mumbai Indians
Lasith Malinga,3.4,0,12,3,143,Mumbai Indians,25,2010-03-28,Deccan Chargers v Mumbai Indians
Dwayne Bravo,2.0,0,16,0,143,Mumbai Indians,25,2010-03-28,Deccan Chargers v Mumbai Indians
Kieron Pollard,2.0,0,20,1,143,Mumbai Indians,25,2010-03-28,Deccan Chargers v Mumbai Indians
Chris Gayle,4.0,0,38,1,144,Delhi Daredevils,26,2010-03-29,Delhi Capitals v Kolkata Knight Riders
Charl Langeveldt,3.0,0,35,2,144,Delhi Daredevils,26,2010-03-29,Delhi Capitals v Kolkata Knight Riders
Ishant Sharma,1.0,0,17,1,144,Delhi Daredevils,26,2010-03-29,Delhi Capitals v Kolkata Knight Riders
David Hussey,4.0,0,24,0,144,Delhi Daredevils,26,2010-03-29,Delhi Capitals v Kolkata Knight Riders
Angelo Mathews,2.0,0,11,0,144,Delhi Daredevils,26,2010-03-29,Delhi Capitals v Kolkata Knight Riders
Murali Kartik,4.0,0,26,0,144,Delhi Daredevils,26,2010-03-29,Delhi Capitals v Kolkata Knight Riders
Ajit Agarkar,2.0,0,26,0,144,Delhi Daredevils,26,2010-03-29,Delhi Capitals v Kolkata Knight Riders
Dirk Nannes,3.1,0,15,1,144,Kolkata Knight Riders,26,2010-03-29,Delhi Capitals v Kolkata Knight Riders
Andrew McDonald,4.0,0,37,2,144,Kolkata Knight Riders,26,2010-03-29,Delhi Capitals v Kolkata Knight Riders
Amit Mishra,4.0,0,18,1,144,Kolkata Knight Riders,26,2010-03-29,Delhi Capitals v Kolkata Knight Riders
Rajat Bhatia,4.0,0,28,1,144,Kolkata Knight Riders,26,2010-03-29,Delhi Capitals v Kolkata Knight Riders
Umesh Yadav,4.0,0,27,2,144,Kolkata Knight Riders,26,2010-03-29,Delhi Capitals v Kolkata Knight Riders
Paul Collingwood,0.5,0,7,1,144,Kolkata Knight Riders,26,2010-03-29,Delhi Capitals v Kolkata Knight Riders
Ryan McLaren,3.0,0,29,0,145,Mumbai Indians,27,2010-03-30,Mumbai Indians v Punjab Kings
Zaheer Khan,4.0,0,34,3,145,Mumbai Indians,27,2010-03-30,Mumbai Indians v Punjab Kings
Lasith Malinga,4.0,0,22,4,145,Mumbai Indians,27,2010-03-30,Mumbai Indians v Punjab Kings
