ID,Match,Date,Teams,Ground,Result,Scorecard,Season,Winner,Margin,Day_of_Week,Month,Year,Team1,Team2
273,21,2012-04-17,Royal Challengers Bengaluru v Pune Warriors,"Bengaluru, Bangalore",Royal Challengers Bengaluru won by 6 Wickets,MatchScorecard.asp?MatchCode=0273,2012.0,Royal Challengers Bengaluru,6 Wickets,Tuesday,April,2012,Royal Challengers Bengaluru,Pune Warriors
274,22,2012-04-18,Punjab Kings v Kolkata Knight Riders,"Mohali, Chandigarh",Kolkata Knight Riders won by 8 Wickets,MatchScorecard.asp?MatchCode=0274,2012.0,Kolkata Knight Riders,8 Wickets,Wednesday,April,2012,Punjab Kings,Kolkata Knight Riders
275,23,2012-04-19,Delhi Capitals v Deccan Chargers,Delhi,Delhi Capitals won by 5 Wickets,MatchScorecard.asp?MatchCode=0275,2012.0,Delhi Capitals,5 Wickets,Thursday,April,2012,Delhi Capitals,Deccan Chargers
276,24,2012-04-19,Chennai Super Kings v Pune Warriors,Chennai,Chennai Super Kings won by 13 Runs,MatchScorecard.asp?MatchCode=0276,2012.0,Chennai Super Kings,13 Runs,Thursday,April,2012,Chennai Super Kings,Pune Warriors
277,25,2012-04-20,Punjab Kings v Royal Challengers Bengaluru,"Mohali, Chandigarh",Royal Challengers Bengaluru won by 5 Wickets,MatchScorecard.asp?MatchCode=0277,2012.0,Royal Challengers Bengaluru,5 Wickets,Friday,April,2012,Punjab Kings,Royal Challengers Bengaluru
278,26,2012-04-21,Chennai Super Kings v Rajasthan Royals,Chennai,Chennai Super Kings won by 7 Wickets,MatchScorecard.asp?MatchCode=0278,2012.0,Chennai Super Kings,7 Wickets,Saturday,April,2012,Chennai Super Kings,Rajasthan Royals
279,27,2012-04-21,Delhi Capitals v Pune Warriors,Delhi,Pune Warriors won by 20 Runs,MatchScorecard.asp?MatchCode=0279,2012.0,Pune Warriors,20 Runs,Saturday,April,2012,Delhi Capitals,Pune Warriors
280,28,2012-04-22,Mumbai Indians v Punjab Kings,Mumbai,Punjab Kings won by 6 Wickets,MatchScorecard.asp?MatchCode=0280,2012.0,Punjab Kings,6 Wickets,Sunday,April,2012,Mumbai Indians,Punjab Kings
281,29,2012-04-22,Deccan Chargers v Kolkata Knight Riders,Cuttack,Kolkata Knight Riders won by 5 Wickets,MatchScorecard.asp?MatchCode=0281,2012.0,Kolkata Knight Riders,5 Wickets,Sunday,April,2012,Deccan Chargers,Kolkata Knight Riders
282,30,2012-04-23,Rajasthan Royals v Royal Challengers Bengaluru,Jaipur,Royal Challengers Bengaluru won by 46 Runs,MatchScorecard.asp?MatchCode=0282,2012.0,Royal Challengers Bengaluru,46 Runs,Monday,April,2012,Rajasthan Royals,Royal Challengers Bengaluru
283,31,2012-04-24,Pune Warriors v Delhi Capitals,Pune,Delhi Capitals won by 8 Wickets,MatchScorecard.asp?MatchCode=0283,2012.0,Delhi Capitals,8 Wickets,Tuesday,April,2012,Pune Warriors,Delhi Capitals
284,32,2012-04-24,Kolkata Knight Riders v Deccan Chargers,Kolkata,Match abandoned,MatchScorecard.asp?MatchCode=0284,2012.0,Unknown,Unknown,Tuesday,April,2012,Kolkata Knight Riders,Deccan Chargers
285,33,2012-04-25,Punjab Kings v Mumbai Indians,"Mohali, Chandigarh",Mumbai Indians won by 4 Wickets,MatchScorecard.asp?MatchCode=0285,2012.0,Mumbai Indians,4 Wickets,Wednesday,April,2012,Punjab Kings,Mumbai Indians
286,34,2012-04-25,Royal Challengers Bengaluru v Chennai Super Kings,"Bengaluru, Bangalore",No result,MatchScorecard.asp?MatchCode=0286,2012.0,Unknown,Unknown,Wednesday,April,2012,Royal Challengers Bengaluru,Chennai Super Kings
287,35,2012-04-26,Pune Warriors v Deccan Chargers,Pune,Deccan Chargers won by 18 Runs,MatchScorecard.asp?MatchCode=0287,2012.0,Deccan Chargers,18 Runs,Thursday,April,2012,Pune Warriors,Deccan Chargers
288,36,2012-04-27,Delhi Capitals v Mumbai Indians,Delhi,Delhi Capitals won by 37 Runs,MatchScorecard.asp?MatchCode=0288,2012.0,Delhi Capitals,37 Runs,Friday,April,2012,Delhi Capitals,Mumbai Indians
289,37,2012-04-28,Chennai Super Kings v Punjab Kings,Chennai,Punjab Kings won by 7 Runs,MatchScorecard.asp?MatchCode=0289,2012.0,Punjab Kings,7 Runs,Saturday,April,2012,Chennai Super Kings,Punjab Kings
290,38,2012-04-28,Kolkata Knight Riders v Royal Challengers Bengaluru,Kolkata,Kolkata Knight Riders won by 47 Runs,MatchScorecard.asp?MatchCode=0290,2012.0,Kolkata Knight Riders,47 Runs,Saturday,April,2012,Kolkata Knight Riders,Royal Challengers Bengaluru
291,39,2012-04-29,Delhi Capitals v Rajasthan Royals,Delhi,Delhi Capitals won by 1 Run,MatchScorecard.asp?MatchCode=0291,2012.0,Delhi Capitals,1 Run,Sunday,April,2012,Delhi Capitals,Rajasthan Royals
292,40,2012-04-29,Mumbai Indians v Deccan Chargers,Mumbai,Mumbai Indians won by 5 Wickets,MatchScorecard.asp?MatchCode=0292,2012.0,Mumbai Indians,5 Wickets,Sunday,April,2012,Mumbai Indians,Deccan Chargers
293,41,2012-04-30,Chennai Super Kings v Kolkata Knight Riders,Chennai,Kolkata Knight Riders won by 5 Wickets,MatchScorecard.asp?MatchCode=0293,2012.0,Kolkata Knight Riders,5 Wickets,Monday,April,2012,Chennai Super Kings,Kolkata Knight Riders
294,42,2012-05-01,Deccan Chargers v Pune Warriors,Cuttack,Deccan Chargers won by 13 Runs,MatchScorecard.asp?MatchCode=0294,2012.0,Deccan Chargers,13 Runs,Tuesday,May,2012,Deccan Chargers,Pune Warriors
295,43,2012-05-01,Rajasthan Royals v Delhi Capitals,Jaipur,Delhi Capitals won by 6 Wickets,MatchScorecard.asp?MatchCode=0295,2012.0,Delhi Capitals,6 Wickets,Tuesday,May,2012,Rajasthan Royals,Delhi Capitals
296,44,2012-05-02,Royal Challengers Bengaluru v Punjab Kings,"Bengaluru, Bangalore",Punjab Kings won by 4 Wickets,MatchScorecard.asp?MatchCode=0296,2012.0,Punjab Kings,4 Wickets,Wednesday,May,2012,Royal Challengers Bengaluru,Punjab Kings
297,45,2012-05-03,Pune Warriors v Mumbai Indians,Pune,Mumbai Indians won by 1 Run,MatchScorecard.asp?MatchCode=0297,2012.0,Mumbai Indians,1 Run,Thursday,May,2012,Pune Warriors,Mumbai Indians
298,46,2012-05-04,Chennai Super Kings v Deccan Chargers,Chennai,Chennai Super Kings won by 10 Runs,MatchScorecard.asp?MatchCode=0298,2012.0,Chennai Super Kings,10 Runs,Friday,May,2012,Chennai Super Kings,Deccan Chargers
299,47,2012-05-05,Kolkata Knight Riders v Pune Warriors,Kolkata,Kolkata Knight Riders won by 7 Runs,MatchScorecard.asp?MatchCode=0299,2012.0,Kolkata Knight Riders,7 Runs,Saturday,May,2012,Kolkata Knight Riders,Pune Warriors
300,48,2012-05-05,Punjab Kings v Rajasthan Royals,"Mohali, Chandigarh",Rajasthan Royals won by 43 Runs,MatchScorecard.asp?MatchCode=0300,2012.0,Rajasthan Royals,43 Runs,Saturday,May,2012,Punjab Kings,Rajasthan Royals
301,49,2012-05-06,Mumbai Indians v Chennai Super Kings,Mumbai,Mumbai Indians won by 2 Wickets,MatchScorecard.asp?MatchCode=0301,2012.0,Mumbai Indians,2 Wickets,Sunday,May,2012,Mumbai Indians,Chennai Super Kings
302,50,2012-05-06,Royal Challengers Bengaluru v Deccan Chargers,"Bengaluru, Bangalore",Royal Challengers Bengaluru won by 5 Wickets,MatchScorecard.asp?MatchCode=0302,2012.0,Royal Challengers Bengaluru,5 Wickets,Sunday,May,2012,Royal Challengers Bengaluru,Deccan Chargers
303,51,2012-05-07,Delhi Capitals v Kolkata Knight Riders,Delhi,Kolkata Knight Riders won by 6 Wickets,MatchScorecard.asp?MatchCode=0303,2012.0,Kolkata Knight Riders,6 Wickets,Monday,May,2012,Delhi Capitals,Kolkata Knight Riders
304,52,2012-05-08,Pune Warriors v Rajasthan Royals,Pune,Rajasthan Royals won by 7 Wickets,MatchScorecard.asp?MatchCode=0304,2012.0,Rajasthan Royals,7 Wickets,Tuesday,May,2012,Pune Warriors,Rajasthan Royals
305,53,2012-05-08,Deccan Chargers v Punjab Kings,Hyderabad,Punjab Kings won by 25 Runs,MatchScorecard.asp?MatchCode=0305,2012.0,Punjab Kings,25 Runs,Tuesday,May,2012,Deccan Chargers,Punjab Kings
306,54,2012-05-09,Mumbai Indians v Royal Challengers Bengaluru,Mumbai,Royal Challengers Bengaluru won by 9 Wickets,MatchScorecard.asp?MatchCode=0306,2012.0,Royal Challengers Bengaluru,9 Wickets,Wednesday,May,2012,Mumbai Indians,Royal Challengers Bengaluru
307,55,2012-05-10,Deccan Chargers v Delhi Capitals,Hyderabad,Delhi Capitals won by 9 Wickets,MatchScorecard.asp?MatchCode=0307,2012.0,Delhi Capitals,9 Wickets,Thursday,May,2012,Deccan Chargers,Delhi Capitals
308,56,2012-05-10,Rajasthan Royals v Chennai Super Kings,Jaipur,Chennai Super Kings won by 4 Wickets,MatchScorecard.asp?MatchCode=0308,2012.0,Chennai Super Kings,4 Wickets,Thursday,May,2012,Rajasthan Royals,Chennai Super Kings
309,57,2012-05-11,Pune Warriors v Royal Challengers Bengaluru,Pune,Royal Challengers Bengaluru won by 35 Runs,MatchScorecard.asp?MatchCode=0309,2012.0,Royal Challengers Bengaluru,35 Runs,Friday,May,2012,Pune Warriors,Royal Challengers Bengaluru
310,58,2012-05-12,Kolkata Knight Riders v Mumbai Indians,Kolkata,Mumbai Indians won by 27 Runs,MatchScorecard.asp?MatchCode=0310,2012.0,Mumbai Indians,27 Runs,Saturday,May,2012,Kolkata Knight Riders,Mumbai Indians
311,59,2012-05-12,Chennai Super Kings v Delhi Capitals,Chennai,Chennai Super Kings won by 9 Wickets,MatchScorecard.asp?MatchCode=0311,2012.0,Chennai Super Kings,9 Wickets,Saturday,May,2012,Chennai Super Kings,Delhi Capitals
312,60,2012-05-13,Rajasthan Royals v Pune Warriors,Jaipur,Rajasthan Royals won by 45 Runs,MatchScorecard.asp?MatchCode=0312,2012.0,Rajasthan Royals,45 Runs,Sunday,May,2012,Rajasthan Royals,Pune Warriors
313,61,2012-05-13,Punjab Kings v Deccan Chargers,"Mohali, Chandigarh",Punjab Kings won by 4 Wickets,MatchScorecard.asp?MatchCode=0313,2012.0,Punjab Kings,4 Wickets,Sunday,May,2012,Punjab Kings,Deccan Chargers
314,62,2012-05-14,Royal Challengers Bengaluru v Mumbai Indians,"Bengaluru, Bangalore",Mumbai Indians won by 5 Wickets,MatchScorecard.asp?MatchCode=0314,2012.0,Mumbai Indians,5 Wickets,Monday,May,2012,Royal Challengers Bengaluru,Mumbai Indians
315,63,2012-05-14,Kolkata Knight Riders v Chennai Super Kings,Kolkata,Chennai Super Kings won by 5 Wickets,MatchScorecard.asp?MatchCode=0315,2012.0,Chennai Super Kings,5 Wickets,Monday,May,2012,Kolkata Knight Riders,Chennai Super Kings
316,64,2012-05-15,Delhi Capitals v Punjab Kings,Delhi,Delhi Capitals won by 5 Wickets,MatchScorecard.asp?MatchCode=0316,2012.0,Delhi Capitals,5 Wickets,Tuesday,May,2012,Delhi Capitals,Punjab Kings
317,65,2012-05-16,Mumbai Indians v Kolkata Knight Riders,Mumbai,Kolkata Knight Riders won by 32 Runs,MatchScorecard.asp?MatchCode=0317,2012.0,Kolkata Knight Riders,32 Runs,Wednesday,May,2012,Mumbai Indians,Kolkata Knight Riders
318,66,2012-05-17,Punjab Kings v Chennai Super Kings,Dharamsala,Punjab Kings won by 6 Wickets,MatchScorecard.asp?MatchCode=0318,2012.0,Punjab Kings,6 Wickets,Thursday,May,2012,Punjab Kings,Chennai Super Kings
319,67,2012-05-17,Delhi Capitals v Royal Challengers Bengaluru,Delhi,Royal Challengers Bengaluru won by 21 Runs,MatchScorecard.asp?MatchCode=0319,2012.0,Royal Challengers Bengaluru,21 Runs,Thursday,May,2012,Delhi Capitals,Royal Challengers Bengaluru
320,68,2012-05-18,Deccan Chargers v Rajasthan Royals,Hyderabad,Deccan Chargers won by 5 Wickets,MatchScorecard.asp?MatchCode=0320,2012.0,Deccan Chargers,5 Wickets,Friday,May,2012,Deccan Chargers,Rajasthan Royals
321,69,2012-05-19,Punjab Kings v Delhi Capitals,Dharamsala,Delhi Capitals won by 6 Wickets,MatchScorecard.asp?MatchCode=0321,2012.0,Delhi Capitals,6 Wickets,Saturday,May,2012,Punjab Kings,Delhi Capitals
322,70,2012-05-19,Pune Warriors v Kolkata Knight Riders,Pune,Kolkata Knight Riders won by 34 Runs,MatchScorecard.asp?MatchCode=0322,2012.0,Kolkata Knight Riders,34 Runs,Saturday,May,2012,Pune Warriors,Kolkata Knight Riders
323,71,2012-05-20,Deccan Chargers v Royal Challengers Bengaluru,Hyderabad,Deccan Chargers won by 9 Runs,MatchScorecard.asp?MatchCode=0323,2012.0,Deccan Chargers,9 Runs,Sunday,May,2012,Deccan Chargers,Royal Challengers Bengaluru
324,72,2012-05-20,Rajasthan Royals v Mumbai Indians,Jaipur,Mumbai Indians won by 10 Wickets,MatchScorecard.asp?MatchCode=0324,2012.0,Mumbai Indians,10 Wickets,Sunday,May,2012,Rajasthan Royals,Mumbai Indians
325,1st Qualifying Final,2012-05-22,Delhi Capitals v Kolkata Knight Riders,Pune,Kolkata Knight Riders won by 18 Runs,MatchScorecard.asp?MatchCode=0325,2012.0,Kolkata Knight Riders,18 Runs,Tuesday,May,2012,Delhi Capitals,Kolkata Knight Riders
326,Elimination Final,2012-05-23,Chennai Super Kings v Mumbai Indians,"Bengaluru, Bangalore",Chennai Super Kings won by 3 Runs,MatchScorecard.asp?MatchCode=0326,2012.0,Chennai Super Kings,3 Runs,Wednesday,May,2012,Chennai Super Kings,Mumbai Indians
327,2nd Qualifying Final,2012-05-25,Delhi Capitals v Chennai Super Kings,Chennai,Chennai Super Kings won by 86 Runs,MatchScorecard.asp?MatchCode=0327,2012.0,Chennai Super Kings,86 Runs,Friday,May,2012,Delhi Capitals,Chennai Super Kings
328,Final,2012-05-27,Kolkata Knight Riders v Chennai Super Kings,Chennai,Kolkata Knight Riders won by 5 Wickets,MatchScorecard.asp?MatchCode=0328,2012.0,Kolkata Knight Riders,5 Wickets,Sunday,May,2012,Kolkata Knight Riders,Chennai Super Kings
329,1,2013-04-03,Kolkata Knight Riders v Delhi Capitals,Kolkata,Kolkata Knight Riders won by 6 Wickets,MatchScorecard.asp?MatchCode=0329,2013.0,Kolkata Knight Riders,6 Wickets,Wednesday,April,2013,Kolkata Knight Riders,Delhi Capitals
330,2,2013-04-04,Royal Challengers Bengaluru v Mumbai Indians,"Bengaluru, Bangalore",Royal Challengers Bengaluru won by 2 Runs,MatchScorecard.asp?MatchCode=0330,2013.0,Royal Challengers Bengaluru,2 Runs,Thursday,April,2013,Royal Challengers Bengaluru,Mumbai Indians
331,3,2013-04-05,Sunrisers Hyderabad v Pune Warriors,Hyderabad,Sunrisers Hyderabad won by 22 Runs,MatchScorecard.asp?MatchCode=0331,2013.0,Sunrisers Hyderabad,22 Runs,Friday,April,2013,Sunrisers Hyderabad,Pune Warriors
332,4,2013-04-06,Delhi Capitals v Rajasthan Royals,Delhi,Rajasthan Royals won by 5 Runs,MatchScorecard.asp?MatchCode=0332,2013.0,Rajasthan Royals,5 Runs,Saturday,April,2013,Delhi Capitals,Rajasthan Royals
333,5,2013-04-06,Chennai Super Kings v Mumbai Indians,Chennai,Mumbai Indians won by 9 Runs,MatchScorecard.asp?MatchCode=0333,2013.0,Mumbai Indians,9 Runs,Saturday,April,2013,Chennai Super Kings,Mumbai Indians
334,6,2013-04-07,Pune Warriors v Punjab Kings,Pune,Punjab Kings won by 8 Wickets,MatchScorecard.asp?MatchCode=0334,2013.0,Punjab Kings,8 Wickets,Sunday,April,2013,Pune Warriors,Punjab Kings
335,7,2013-04-07,Sunrisers Hyderabad v Royal Challengers Bengaluru,Hyderabad,Match tied (Sunrisers Hyderabad won eliminator),MatchScorecard.asp?MatchCode=0335,2013.0,Unknown,Unknown,Sunday,April,2013,Sunrisers Hyderabad,Royal Challengers Bengaluru
336,8,2013-04-08,Rajasthan Royals v Kolkata Knight Riders,Jaipur,Rajasthan Royals won by 19 Runs,MatchScorecard.asp?MatchCode=0336,2013.0,Rajasthan Royals,19 Runs,Monday,April,2013,Rajasthan Royals,Kolkata Knight Riders
337,10,2013-04-09,Mumbai Indians v Delhi Capitals,Mumbai,Mumbai Indians won by 44 Runs,MatchScorecard.asp?MatchCode=0338,2013.0,Mumbai Indians,44 Runs,Tuesday,April,2013,Mumbai Indians,Delhi Capitals
338,9,2013-04-09,Royal Challengers Bengaluru v Sunrisers Hyderabad,"Bengaluru, Bangalore",Royal Challengers Bengaluru won by 7 Wickets,MatchScorecard.asp?MatchCode=0337,2013.0,Royal Challengers Bengaluru,7 Wickets,Tuesday,April,2013,Royal Challengers Bengaluru,Sunrisers Hyderabad
339,11,2013-04-10,Punjab Kings v Chennai Super Kings,"Mohali, Chandigarh",Chennai Super Kings won by 10 Wickets,MatchScorecard.asp?MatchCode=0339,2013.0,Chennai Super Kings,10 Wickets,Wednesday,April,2013,Punjab Kings,Chennai Super Kings
340,12,2013-04-11,Royal Challengers Bengaluru v Kolkata Knight Riders,"Bengaluru, Bangalore",Royal Challengers Bengaluru won by 8 Wickets,MatchScorecard.asp?MatchCode=0340,2013.0,Royal Challengers Bengaluru,8 Wickets,Thursday,April,2013,Royal Challengers Bengaluru,Kolkata Knight Riders
341,13,2013-04-11,Pune Warriors v Rajasthan Royals,Pune,Pune Warriors won by 7 Wickets,MatchScorecard.asp?MatchCode=0341,2013.0,Pune Warriors,7 Wickets,Thursday,April,2013,Pune Warriors,Rajasthan Royals
342,14,2013-04-12,Delhi Capitals v Sunrisers Hyderabad,Delhi,Sunrisers Hyderabad won by 3 Wickets,MatchScorecard.asp?MatchCode=0342,2013.0,Sunrisers Hyderabad,3 Wickets,Friday,April,2013,Delhi Capitals,Sunrisers Hyderabad
343,15,2013-04-13,Mumbai Indians v Pune Warriors,Mumbai,Mumbai Indians won by 41 Runs,MatchScorecard.asp?MatchCode=0343,2013.0,Mumbai Indians,41 Runs,Saturday,April,2013,Mumbai Indians,Pune Warriors
344,16,2013-04-13,Chennai Super Kings v Royal Challengers Bengaluru,Chennai,Chennai Super Kings won by 4 Wickets,MatchScorecard.asp?MatchCode=0344,2013.0,Chennai Super Kings,4 Wickets,Saturday,April,2013,Chennai Super Kings,Royal Challengers Bengaluru
345,17,2013-04-14,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders won by 48 Runs,MatchScorecard.asp?MatchCode=0345,2013.0,Kolkata Knight Riders,48 Runs,Sunday,April,2013,Kolkata Knight Riders,Sunrisers Hyderabad
346,18,2013-04-14,Rajasthan Royals v Punjab Kings,Jaipur,Rajasthan Royals won by 6 Wickets,MatchScorecard.asp?MatchCode=0346,2013.0,Rajasthan Royals,6 Wickets,Sunday,April,2013,Rajasthan Royals,Punjab Kings
347,19,2013-04-15,Chennai Super Kings v Pune Warriors,Chennai,Pune Warriors won by 24 Runs,MatchScorecard.asp?MatchCode=0347,2013.0,Pune Warriors,24 Runs,Monday,April,2013,Chennai Super Kings,Pune Warriors
348,20,2013-04-16,Punjab Kings v Kolkata Knight Riders,"Mohali, Chandigarh",Punjab Kings won by 4 Runs,MatchScorecard.asp?MatchCode=0348,2013.0,Punjab Kings,4 Runs,Tuesday,April,2013,Punjab Kings,Kolkata Knight Riders
349,21,2013-04-16,Royal Challengers Bengaluru v Delhi Capitals,"Bengaluru, Bangalore",Match tied (Royal Challengers Bengaluru won eliminator),MatchScorecard.asp?MatchCode=0349,2013.0,Unknown,Unknown,Tuesday,April,2013,Royal Challengers Bengaluru,Delhi Capitals
350,22,2013-04-17,Pune Warriors v Sunrisers Hyderabad,Pune,Sunrisers Hyderabad won by 11 Runs,MatchScorecard.asp?MatchCode=0350,2013.0,Sunrisers Hyderabad,11 Runs,Wednesday,April,2013,Pune Warriors,Sunrisers Hyderabad
351,23,2013-04-17,Rajasthan Royals v Mumbai Indians,Jaipur,Rajasthan Royals won by 87 Runs,MatchScorecard.asp?MatchCode=0351,2013.0,Rajasthan Royals,87 Runs,Wednesday,April,2013,Rajasthan Royals,Mumbai Indians
352,24,2013-04-18,Chennai Super Kings v Delhi Capitals,Delhi,Chennai Super Kings won by 86 Runs,MatchScorecard.asp?MatchCode=0352,2013.0,Chennai Super Kings,86 Runs,Thursday,April,2013,Chennai Super Kings,Delhi Capitals
353,25,2013-04-19,Sunrisers Hyderabad v Punjab Kings,Hyderabad,Sunrisers Hyderabad won by 5 Wickets,MatchScorecard.asp?MatchCode=0353,2013.0,Sunrisers Hyderabad,5 Wickets,Friday,April,2013,Sunrisers Hyderabad,Punjab Kings
354,26,2013-04-20,Kolkata Knight Riders v Chennai Super Kings,Kolkata,Chennai Super Kings won by 4 Wickets,MatchScorecard.asp?MatchCode=0354,2013.0,Chennai Super Kings,4 Wickets,Saturday,April,2013,Kolkata Knight Riders,Chennai Super Kings
355,27,2013-04-20,Royal Challengers Bengaluru v Rajasthan Royals,"Bengaluru, Bangalore",Royal Challengers Bengaluru won by 7 Wickets,MatchScorecard.asp?MatchCode=0355,2013.0,Royal Challengers Bengaluru,7 Wickets,Saturday,April,2013,Royal Challengers Bengaluru,Rajasthan Royals
356,28,2013-04-21,Delhi Capitals v Mumbai Indians,Delhi,Delhi Capitals won by 9 Wickets,MatchScorecard.asp?MatchCode=0356,2013.0,Delhi Capitals,9 Wickets,Sunday,April,2013,Delhi Capitals,Mumbai Indians
357,29,2013-04-21,Punjab Kings v Pune Warriors,"Mohali, Chandigarh",Punjab Kings won by 7 Wickets,MatchScorecard.asp?MatchCode=0357,2013.0,Punjab Kings,7 Wickets,Sunday,April,2013,Punjab Kings,Pune Warriors
358,30,2013-04-22,Chennai Super Kings v Rajasthan Royals,Chennai,Chennai Super Kings won by 5 Wickets,MatchScorecard.asp?MatchCode=0358,2013.0,Chennai Super Kings,5 Wickets,Monday,April,2013,Chennai Super Kings,Rajasthan Royals
359,31,2013-04-23,Royal Challengers Bengaluru v Pune Warriors,"Bengaluru, Bangalore",Royal Challengers Bengaluru won by 130 Runs,MatchScorecard.asp?MatchCode=0359,2013.0,Royal Challengers Bengaluru,130 Runs,Tuesday,April,2013,Royal Challengers Bengaluru,Pune Warriors
360,32,2013-04-23,Delhi Capitals v Punjab Kings,Delhi,Punjab Kings won by 5 Wickets,MatchScorecard.asp?MatchCode=0360,2013.0,Punjab Kings,5 Wickets,Tuesday,April,2013,Delhi Capitals,Punjab Kings
361,33,2013-04-24,Kolkata Knight Riders v Mumbai Indians,Kolkata,Mumbai Indians won by 5 Wickets,MatchScorecard.asp?MatchCode=0361,2013.0,Mumbai Indians,5 Wickets,Wednesday,April,2013,Kolkata Knight Riders,Mumbai Indians
362,34,2013-04-25,Chennai Super Kings v Sunrisers Hyderabad,Chennai,Chennai Super Kings won by 5 Wickets,MatchScorecard.asp?MatchCode=0362,2013.0,Chennai Super Kings,5 Wickets,Thursday,April,2013,Chennai Super Kings,Sunrisers Hyderabad
363,35,2013-04-26,Kolkata Knight Riders v Punjab Kings,Kolkata,Kolkata Knight Riders won by 6 Wickets,MatchScorecard.asp?MatchCode=0363,2013.0,Kolkata Knight Riders,6 Wickets,Friday,April,2013,Kolkata Knight Riders,Punjab Kings
364,36,2013-04-27,Sunrisers Hyderabad v Rajasthan Royals,Jaipur,Rajasthan Royals won by 8 Wickets,MatchScorecard.asp?MatchCode=0364,2013.0,Rajasthan Royals,8 Wickets,Saturday,April,2013,Sunrisers Hyderabad,Rajasthan Royals
365,37,2013-04-27,Mumbai Indians v Royal Challengers Bengaluru,Mumbai,Mumbai Indians won by 58 Runs,MatchScorecard.asp?MatchCode=0365,2013.0,Mumbai Indians,58 Runs,Saturday,April,2013,Mumbai Indians,Royal Challengers Bengaluru
366,38,2013-04-28,Chennai Super Kings v Kolkata Knight Riders,Chennai,Chennai Super Kings won by 14 Runs,MatchScorecard.asp?MatchCode=0366,2013.0,Chennai Super Kings,14 Runs,Sunday,April,2013,Chennai Super Kings,Kolkata Knight Riders
367,39,2013-04-28,Delhi Capitals v Pune Warriors,Raipur,Delhi Capitals won by 15 Runs,MatchScorecard.asp?MatchCode=0367,2013.0,Delhi Capitals,15 Runs,Sunday,April,2013,Delhi Capitals,Pune Warriors
368,40,2013-04-29,Rajasthan Royals v Royal Challengers Bengaluru,Jaipur,Rajasthan Royals won by 4 Wickets,MatchScorecard.asp?MatchCode=0368,2013.0,Rajasthan Royals,4 Wickets,Monday,April,2013,Rajasthan Royals,Royal Challengers Bengaluru
369,41,2013-04-29,Mumbai Indians v Punjab Kings,Mumbai,Mumbai Indians won by 4 Runs,MatchScorecard.asp?MatchCode=0369,2013.0,Mumbai Indians,4 Runs,Monday,April,2013,Mumbai Indians,Punjab Kings
370,42,2013-04-30,Chennai Super Kings v Pune Warriors,Pune,Chennai Super Kings won by 37 Runs,MatchScorecard.asp?MatchCode=0370,2013.0,Chennai Super Kings,37 Runs,Tuesday,April,2013,Chennai Super Kings,Pune Warriors
371,43,2013-05-01,Mumbai Indians v Sunrisers Hyderabad,Hyderabad,Sunrisers Hyderabad won by 7 Wickets,MatchScorecard.asp?MatchCode=0371,2013.0,Sunrisers Hyderabad,7 Wickets,Wednesday,May,2013,Mumbai Indians,Sunrisers Hyderabad
372,44,2013-05-01,Delhi Capitals v Kolkata Knight Riders,Raipur,Delhi Capitals won by 7 Wickets,MatchScorecard.asp?MatchCode=0372,2013.0,Delhi Capitals,7 Wickets,Wednesday,May,2013,Delhi Capitals,Kolkata Knight Riders
373,45,2013-05-02,Chennai Super Kings v Punjab Kings,Chennai,Chennai Super Kings won by 15 Runs,MatchScorecard.asp?MatchCode=0373,2013.0,Chennai Super Kings,15 Runs,Thursday,May,2013,Chennai Super Kings,Punjab Kings
374,46,2013-05-02,Pune Warriors v Royal Challengers Bengaluru,Pune,Royal Challengers Bengaluru won by 17 Runs,MatchScorecard.asp?MatchCode=0374,2013.0,Royal Challengers Bengaluru,17 Runs,Thursday,May,2013,Pune Warriors,Royal Challengers Bengaluru
375,47,2013-05-03,Kolkata Knight Riders v Rajasthan Royals,Kolkata,Kolkata Knight Riders won by 8 Wickets,MatchScorecard.asp?MatchCode=0375,2013.0,Kolkata Knight Riders,8 Wickets,Friday,May,2013,Kolkata Knight Riders,Rajasthan Royals
376,48,2013-05-04,Sunrisers Hyderabad v Delhi Capitals,Hyderabad,Sunrisers Hyderabad won by 6 Wickets,MatchScorecard.asp?MatchCode=0376,2013.0,Sunrisers Hyderabad,6 Wickets,Saturday,May,2013,Sunrisers Hyderabad,Delhi Capitals
377,49,2013-05-05,Mumbai Indians v Chennai Super Kings,Mumbai,Mumbai Indians won by 60 Runs,MatchScorecard.asp?MatchCode=0377,2013.0,Mumbai Indians,60 Runs,Sunday,May,2013,Mumbai Indians,Chennai Super Kings
378,50,2013-05-05,Rajasthan Royals v Pune Warriors,Jaipur,Rajasthan Royals won by 5 Wickets,MatchScorecard.asp?MatchCode=0378,2013.0,Rajasthan Royals,5 Wickets,Sunday,May,2013,Rajasthan Royals,Pune Warriors
379,51,2013-05-06,Punjab Kings v Royal Challengers Bengaluru,"Mohali, Chandigarh",Punjab Kings won by 6 Wickets,MatchScorecard.asp?MatchCode=0379,2013.0,Punjab Kings,6 Wickets,Monday,May,2013,Punjab Kings,Royal Challengers Bengaluru
